iteration,stack,req_per_sec,avg_latency_ms,p50_ms,p90_ms,p99_ms,total_2xx
1,zeal,93958,1.650,1.000,3.000,8.000,939553
1,raw,123536,1.140,1.000,1.000,3.000,1235228
1,express,138173,1.080,1.000,2.000,3.000,1381903
2,zeal,70200,2.380,2.000,5.000,10.000,701954
2,raw,115264,1.220,1.000,2.000,5.000,1152619
2,express,122141,1.230,1.000,2.000,4.000,1221440
3,zeal,102381,1.490,1.000,3.000,7.000,1023739
3,raw,125853,1.190,1.000,2.000,5.000,1258565
3,express,122387,1.240,1.000,2.000,5.000,1223801
4,zeal,94342,1.660,1.000,3.000,8.000,943426
4,raw,125814,1.170,1.000,2.000,4.000,1258203
4,express,114285,1.310,1.000,2.000,5.000,1142834
5,zeal,78874,2.050,1.000,4.000,10.000,788776
5,raw,124077,1.180,1.000,2.000,4.000,1240688
5,express,120710,1.250,1.000,2.000,5.000,1207125
6,zeal,77629,2.080,2.000,4.000,10.000,776287
6,raw,117011,1.300,1.000,2.000,5.000,1170206
6,express,110256,1.400,1.000,2.000,5.000,1102603
7,zeal,79867,2.020,2.000,4.000,10.000,798686
7,raw,122269,1.210,1.000,2.000,5.000,1222711
7,express,126605,1.160,1.000,2.000,3.000,1266192
8,zeal,96262,1.610,1.000,3.000,9.000,962695
8,raw,121696,1.190,1.000,2.000,4.000,1217002
8,express,122608,1.230,1.000,2.000,5.000,1225868
9,zeal,85106,1.870,1.000,4.000,9.000,851007
9,raw,122048,1.190,1.000,2.000,4.000,1220541
9,express,122074,1.240,1.000,2.000,5.000,1220701
10,zeal,95443,1.640,1.000,3.000,9.000,954455
10,raw,122995,1.160,1.000,2.000,3.000,1229804
10,express,128877,1.180,1.000,2.000,4.000,1288893
